cod;nome;período;valor
1076;BRA;1989;1.16
1076;BRA;1990;1.52
1076;BRA;1991;1.52
1076;BRA;1992;1.33
1076;BRA;1993;1.49
1076;BRA;1994;1.68
1076;BRA;1995;2.02
1076;BRA;1996;2.3
1076;BRA;1997;2.19
1076;BRA;1998;2.13
1076;BRA;1999;2.13
1076;BRA;2000;2.32
1076;BRA;2001;2.35
1076;BRA;2002;2.29
1076;BRA;2003;2.32
1076;BRA;2004;2.22
1076;BRA;2005;2.16
1076;BRA;2006;2.2
1076;BRA;2007;2.08
1076;BRA;2008;2.12
1076;BRA;2009;2.24
1076;BRA;2010;2.22
1076;BRA;2011;2.26
1076;BRA;2012;2.31
1076;BRA;2013;2.28
1076;BRA;2014;2.33
1076;BRA;2015;2.2
1076;BRA;2016;2.24
1076;BRA;2017;2.51
1076;BRA;2018;2.2
1076;BRA;2019;1.7
1076;BRA;2020;1.77
1076;BRA;2021;1.75
