cod;nome;período;valor
1076;BRA;1989;18
1076;BRA;1990;21.7
1076;BRA;1991;20.1
1076;BRA;1992;18.7
1076;BRA;1993;21.1
1076;BRA;1994;23.1
1076;BRA;1995;26.8
1076;BRA;1996;27.2
1076;BRA;1997;28.7
1076;BRA;1998;29.9
1076;BRA;1999;31
1076;BRA;2000;33.45
1076;BRA;2001;35.83
1076;BRA;2002;36.26
1076;BRA;2003;37.94
1076;BRA;2004;35.42
1076;BRA;2005;34.2
1076;BRA;2006;35.35
1076;BRA;2007;34.26
1076;BRA;2008;35.42
1076;BRA;2009;35.92
1076;BRA;2010;35.75
1076;BRA;2011;35.29
1076;BRA;2012;38.29
1076;BRA;2013;38.26
1076;BRA;2014;40.26
1076;BRA;2015;39.13
1076;BRA;2016;41.39
1076;BRA;2017;43.75
1076;BRA;2018;37.61
1076;BRA;2019;27.9
1076;BRA;2020;30.95
1076;BRA;2021;29.82
