cod;nome;período;valor
1076;BRA;1980;35.97
1076;BRA;1981;38.51
1076;BRA;1982;37.53
1076;BRA;1983;41.7
1076;BRA;1984;48.89
1076;BRA;1985;49.65
1076;BRA;1986;51.42
1076;BRA;1987;56.99
1076;BRA;1988;55.94
1076;BRA;1989;70.59
1076;BRA;1990;77.63
1076;BRA;1991;70.83
1076;BRA;1992;63.91
1076;BRA;1993;68.26
1076;BRA;1994;74.26
1076;BRA;1995;81.22
1076;BRA;1996;87.64
1076;BRA;1997;102.71
1076;BRA;1998;97.94
1076;BRA;1999;93.37
1076;BRA;2000;95.02
1076;BRA;2001;98.27
1076;BRA;2002;102.63
1076;BRA;2003;105.66
1076;BRA;2004;99.5
1076;BRA;2005;96.49
1076;BRA;2006;97.35
1076;BRA;2007;94.33
1076;BRA;2008;99.05
1076;BRA;2009;100.05
1076;BRA;2010;100.73
1076;BRA;2011;98.71
1076;BRA;2012;108.91
1076;BRA;2013;109.7
1076;BRA;2014;116.94
1076;BRA;2015;113.57
1076;BRA;2016;122.6
1076;BRA;2017;130.45
1076;BRA;2018;121.69
1076;BRA;2019;93.01
1076;BRA;2020;96.1
1076;BRA;2021;91.24
