cod;nome;período;valor
1076;BRA;1989;5.46
1076;BRA;1990;5.79
1076;BRA;1991;5.75
1076;BRA;1992;4.8
1076;BRA;1993;5.14
1076;BRA;1994;5.52
1076;BRA;1995;6.43
1076;BRA;1996;7.51
1076;BRA;1997;7.4
1076;BRA;1998;7.23
1076;BRA;1999;6.78
1076;BRA;2000;6.79
1076;BRA;2001;7.13
1076;BRA;2002;6.98
1076;BRA;2003;7.17
1076;BRA;2004;6.83
1076;BRA;2005;6.48
1076;BRA;2006;6.79
1076;BRA;2007;6.45
1076;BRA;2008;6.72
1076;BRA;2009;7.08
1076;BRA;2010;7.58
1076;BRA;2011;7.41
1076;BRA;2012;7.8
1076;BRA;2013;7.8
1076;BRA;2014;7.73
1076;BRA;2015;6.97
1076;BRA;2016;7.12
1076;BRA;2017;7.94
1076;BRA;2018;7.65
1076;BRA;2019;6.03
1076;BRA;2020;6.27
1076;BRA;2021;5.79
