cod;nome;período;valor
1076;BRA;1989;37.62
1076;BRA;1990;41.27
1076;BRA;1991;37.9
1076;BRA;1992;34.06
1076;BRA;1993;36.32
1076;BRA;1994;39.47
1076;BRA;1995;43.36
1076;BRA;1996;47.37
1076;BRA;1997;53.19
1076;BRA;1998;52.31
1076;BRA;1999;50.17
1076;BRA;2000;51.33
1076;BRA;2001;53.14
1076;BRA;2002;55.26
1076;BRA;2003;56.89
1076;BRA;2004;53.61
1076;BRA;2005;51.93
1076;BRA;2006;52.51
1076;BRA;2007;50.82
1076;BRA;2008;53.35
1076;BRA;2009;54.03
1076;BRA;2010;54.62
1076;BRA;2011;53.52
1076;BRA;2012;58.87
1076;BRA;2013;59.29
1076;BRA;2014;62.92
1076;BRA;2015;60.86
1076;BRA;2016;65.51
1076;BRA;2017;69.9
1076;BRA;2018;60.42
1076;BRA;2019;45.76
1076;BRA;2020;51.61
1076;BRA;2021;49.04
