cod;nome;período;valor
1076;BRA;1989;37.68
1076;BRA;1990;41.29
1076;BRA;1991;38.59
1076;BRA;1992;35.57
1076;BRA;1993;37.33
1076;BRA;1994;39.19
1076;BRA;1995;43.9
1076;BRA;1996;46.74
1076;BRA;1997;59.36
1076;BRA;1998;49.58
1076;BRA;1999;48.1
1076;BRA;2000;48.34
1076;BRA;2001;50.53
1076;BRA;2002;51.87
1076;BRA;2003;53.09
1076;BRA;2004;49.67
1076;BRA;2005;48.19
1076;BRA;2006;49.14
1076;BRA;2007;47.31
1076;BRA;2008;49.11
1076;BRA;2009;49.82
1076;BRA;2010;50.14
1076;BRA;2011;49.4
1076;BRA;2012;53.04
1076;BRA;2013;52.87
1076;BRA;2014;55.44
1076;BRA;2015;53.85
1076;BRA;2016;56.79
1076;BRA;2017;59.1
1076;BRA;2018;51.66
1076;BRA;2019;40.13
1076;BRA;2020;44.35
1076;BRA;2021;42.11
