cod;nome;período;valor
1076;BRA;1980;2.26
1076;BRA;1981;2.44
1076;BRA;1982;2.41
1076;BRA;1983;2.67
1076;BRA;1984;2.67
1076;BRA;1985;2.66
1076;BRA;1986;2.65
1076;BRA;1987;2.8
1076;BRA;1988;2.88
1076;BRA;1989;3.27
1076;BRA;1990;3.55
1076;BRA;1991;3.67
1076;BRA;1992;3.19
1076;BRA;1993;3.42
1076;BRA;1994;3.65
1076;BRA;1995;4.22
1076;BRA;1996;4.66
1076;BRA;1997;5
1076;BRA;1998;4.34
1076;BRA;1999;4.21
1076;BRA;2000;4.29
1076;BRA;2001;4.35
1076;BRA;2002;4.31
1076;BRA;2003;4.33
1076;BRA;2004;4.15
1076;BRA;2005;4.16
1076;BRA;2006;4.26
1076;BRA;2007;3.95
1076;BRA;2008;4.17
1076;BRA;2009;4.36
1076;BRA;2010;4.53
1076;BRA;2011;4.53
1076;BRA;2012;4.69
1076;BRA;2013;4.69
1076;BRA;2014;4.71
1076;BRA;2015;4.46
1076;BRA;2016;4.45
1076;BRA;2017;4.69
1076;BRA;2018;4.26
1076;BRA;2019;3.5
1076;BRA;2020;3.54
1076;BRA;2021;3.53
